term,ranks,name,isrc,id,artist,album,release_date,popularity
thandaza,5,Slideshow,USQX91902509,1uVoEVmDUOSPJamg5r0znQ,Labrinth,Euphoria (Original Score from the HBO Series),2019-10-04,34
Shayef ta,1,Shayef Taifek,LBA0H2004133,1k20CsNjq0xPbkmnZbtUEV,siilawy,Shayef Taifek,2022-03-18,51
Shayef ta,2,Amrikkka,QZFYW2115586,55LLrj5aARUqCLoDEwAp7v,"Shabjdeed, Al Nather",Amrikkka,2020-12-30,49
Shayef ta,3,Inn Ann,QZHN32131378,4FTGTibd0V8qZOTMwx7lG7,"Daboor, Shabjdeed",El Gad3ana,2021-04-30,49
Shayef ta,4,Taal,AEA141805106,3FuqFD4WfIKGlImPNcpyq9,"Mustafa Al-Abdullah, Mahmoud Al Turky, Ali Jassim",Taal,2018-07-10,49
Shayef ta,5,Shayel Zaneb,LBA132300447,4mz52MZJRj1t1NrBAWSzMJ,AL SHAMI,Shayel Zaneb,2023-03-18,47
thandaza,1,I'm Tired - Long Version,USQX92201741,7aECBTWeMSjTfJgUl34Y1G,Labrinth,EUPHORIA SEASON 2 OFFICIAL SCORE (FROM THE HBO ORIGINAL SERIES),2022-04-22,45
thandaza,2,Everything,USSM12302197,7gzAwNowFl5ymL5ejbqQbn,Labrinth,Ends & Begins,2023-04-28,39
thandaza,3,Fun At The Alley,USQX92201759,0njtFgDso6x7h9aZ8SPNET,Labrinth,EUPHORIA SEASON 2 OFFICIAL SCORE (FROM THE HBO ORIGINAL SERIES),2022-04-22,37
thandaza,4,Bitch in a Band,TCADF1744021,1WZB4OuIiYI7VjBsNPNfuQ,LABRYS,Labrys,2017-08-25,23
thandaza,5,Slideshow,USQX91902509,1uVoEVmDUOSPJamg5r0znQ,Labrinth,Euphoria (Original Score from the HBO Series),2019-10-04,34
Talk dirt,1,VULTURES,QZ7XS2400011,0Cz12ejDQ5L1c1f4sVck4n,"¥$, Kanye West, Ty Dolla $ign",VULTURES 1,2024-02-09,60
Talk dirt,2,SLIDE,TLVEM2467039,1AIbZL0CDlzTJ1Bv4kBP4G,"¥$, Kanye West, Ty Dolla $ign",VULTURES 2,2024-08-03,72
Talk dirt,3,CARNIVAL,QZ7XS2400012,4OssqCixV2Xsxd43wMIQyS,"¥$, Kanye West, Ty Dolla $ign",VULTURES 1,2024-02-09,80
Talk dirt,4,Vultures,USSM10603630,1IdTIzkTK6CcpKKgMUGbg7,John Mayer,Continuum,2006-09-11,58
Talk dirt,5,TIME MOVING SLOW,TLVEM2467066,6UrsyvM8b3RMperY8vybgK,"¥$, Kanye West, Ty Dolla $ign",VULTURES 2,2024-08-03,71
